.dwg,.jpeg,.psd,.ini,.jfif,,.docx,.pdf,.rte,.339
1,4,1,1,1,8,1,1,1,1
.dwg,.jpeg,.psd,.ini,.jfif,,.docx,.pdf,.rte,.339
1,4,1,1,1,8,1,1,1,1
